Data;7832 - Ibovespa - Variação percentual mensal - %
01/1987;-23,28
02/1987;-3,73
03/1987;-2,98
04/1987;29,29
05/1987;-10,54
06/1987;45,00
07/1987;23,14
08/1987;-16,23
09/1987;29,02
10/1987;-19,27
11/1987;3,71
12/1987;0,71
01/1988;52,88
02/1988;13,13
03/1988;83,58
04/1988;31,27
05/1988;18,09
06/1988;14,51
07/1988;3,64
08/1988;29,16
09/1988;45,35
10/1988;31,84
11/1988;18,50
12/1988;54,65
01/1989;-2,06
02/1989;53,68
03/1989;46,47
04/1989;59,88
05/1989;7,46
06/1989;-41,98
07/1989;69,50
08/1989;24,04
09/1989;47,48
10/1989;51,41
11/1989;-9,13
12/1989;98,64
01/1990;63,09
02/1990;65,16
03/1990;-56,17
04/1990;114,25
05/1990;-6,06
06/1990;20,32
07/1990;69,27
08/1990;-15,93
09/1990;-7,87
10/1990;-22,73
11/1990;48,53
12/1990;-5,11
01/1991;88,74
02/1991;52,90
03/1991;-11,51
04/1991;3,91
05/1991;67,30
06/1991;21,16
07/1991;33,13
08/1991;15,85
09/1991;17,27
10/1991;31,13
11/1991;0,67
12/1991;88,11
01/1992;84,40
02/1992;29,37
03/1992;21,09
04/1992;28,60
05/1992;14,78
06/1992;-22,55
07/1992;33,54
08/1992;21,91
09/1992;36,19
10/1992;3,77
11/1992;-0,93
12/1992;48,23
01/1993;36,94
02/1993;51,25
03/1993;36,54
04/1993;25,59
05/1993;47,01
06/1993;51,80
07/1993;22,01
08/1993;47,04
09/1993;52,04
10/1993;25,75
11/1993;48,65
12/1993;37,01
01/1994;97,24
02/1994;42,30
03/1994;43,81
04/1994;12,73
05/1994;44,42
06/1994;46,85
07/1994;15,96
08/1994;26,85
09/1994;2,90
10/1994;-12,51
11/1994;-2,96
12/1994;-6,49
01/1995;-10,77
02/1995;-15,81
03/1995;-8,92
04/1995;28,02
05/1995;-2,44
06/1995;-3,15
07/1995;7,61
08/1995;11,17
09/1995;8,34
10/1995;-11,60
11/1995;6,06
12/1995;-1,82
01/1996;19,83
02/1996;-3,76
03/1996;-0,06
04/1996;4,22
05/1996;10,92
06/1996;5,52
07/1996;1,31
08/1996;2,22
09/1996;2,99
10/1996;1,34
11/1996;2,03
12/1996;5,61
01/1997;13,14
02/1997;10,19
03/1997;2,45
04/1997;10,37
05/1997;13,64
06/1997;10,78
07/1997;2,43
08/1997;-17,58
09/1997;11,20
10/1997;-23,83
11/1997;4,54
12/1997;8,54
01/1998;-4,67
02/1998;8,74
03/1998;13,02
04/1998;-2,25
05/1998;-15,68
06/1998;-1,71
07/1998;10,63
08/1998;-39,55
09/1998;1,85
10/1998;6,89
11/1998;22,50
12/1998;-21,40
01/1999;20,45
02/1999;9,04
03/1999;20,04
04/1999;6,11
05/1999;-2,30
06/1999;4,84
07/1999;-10,19
08/1999;1,18
09/1999;5,13
10/1999;5,35
11/1999;17,77
12/1999;24,05
01/2000;-4,11
02/2000;7,81
03/2000;0,91
04/2000;-12,81
05/2000;-3,74
06/2000;11,84
07/2000;-1,63
08/2000;5,42
09/2000;-8,17
10/2000;-6,66
11/2000;-10,63
12/2000;14,84
01/2001;15,81
02/2001;-10,08
03/2001;-9,14
04/2001;3,32
05/2001;-1,80
06/2001;-0,61
07/2001;-5,53
08/2001;-6,65
09/2001;-17,17
10/2001;6,85
11/2001;13,79
12/2001;4,47
01/2002;-5,83
02/2002;10,31
03/2002;-5,55
04/2002;-1,28
05/2002;-1,71
06/2002;-13,39
07/2002;-12,36
08/2002;6,35
09/2002;-16,95
10/2002;17,92
11/2002;3,35
12/2002;7,23
01/2003;-2,90
02/2003;-6,04
03/2003;9,66
04/2003;11,38
05/2003;6,89
06/2003;-3,35
07/2003;4,62
08/2003;11,81
09/2003;5,51
10/2003;12,32
11/2003;12,24
12/2003;10,17
01/2004;-1,73
02/2004;-0,44
03/2004;1,78
04/2004;-11,45
05/2004;-0,32
06/2004;8,21
07/2004;5,62
08/2004;2,09
09/2004;1,94
10/2004;-0,83
11/2004;9,01
12/2004;4,25
01/2005;-7,05
02/2005;15,56
03/2005;-5,43
04/2005;-6,64
05/2005;1,47
06/2005;-0,62
07/2005;3,96
08/2005;7,69
09/2005;12,62
10/2005;-4,40
11/2005;5,71
12/2005;4,82
01/2006;14,73
02/2006;0,59
03/2006;-1,71
04/2006;6,36
05/2006;-9,50
06/2006;0,27
07/2006;1,22
08/2006;-2,28
09/2006;0,60
10/2006;7,72
11/2006;6,80
12/2006;6,06
01/2007;0,38
02/2007;-1,68
03/2007;4,36
04/2007;6,88
05/2007;6,77
06/2007;4,06
07/2007;-0,39
08/2007;0,84
09/2007;10,67
10/2007;8,02
11/2007;-3,54
12/2007;1,40
01/2008;-6,88
02/2008;6,72
03/2008;-3,97
04/2008;11,32
05/2008;6,96
06/2008;-10,44
07/2008;-8,48
08/2008;-6,43
09/2008;-11,03
10/2008;-24,80
11/2008;-1,77
12/2008;2,61
01/2009;4,66
02/2009;-2,84
03/2009;7,18
04/2009;15,55
05/2009;12,49
06/2009;-3,25
07/2009;6,41
08/2009;3,15
09/2009;8,90
10/2009;0,04
11/2009;8,93
12/2009;2,30
01/2010;-4,65
02/2010;1,68
03/2010;5,82
04/2010;-4,04
05/2010;-6,64
06/2010;-3,34
07/2010;10,80
08/2010;-3,51
09/2010;6,58
10/2010;1,79
11/2010;-4,20
12/2010;2,36
01/2011;-3,94
02/2011;1,22
03/2011;1,79
04/2011;-3,58
05/2011;-2,29
06/2011;-3,43
07/2011;-5,74
08/2011;-3,96
09/2011;-7,38
10/2011;11,49
11/2011;-2,51
12/2011;-0,21
01/2012;11,13
02/2012;4,34
03/2012;-1,98
04/2012;-4,17
05/2012;-11,86
06/2012;-0,25
07/2012;3,21
08/2012;1,72
09/2012;3,70
10/2012;-3,56
11/2012;0,71
12/2012;6,05
01/2013;-1,95
02/2013;-3,91
03/2013;-1,87
04/2013;-0,78
05/2013;-4,30
06/2013;-11,31
07/2013;1,64
08/2013;3,68
09/2013;4,65
10/2013;3,66
11/2013;-3,27
12/2013;-1,86
01/2014;-7,51
02/2014;-1,14
03/2014;7,05
04/2014;2,40
05/2014;-0,75
06/2014;3,76
07/2014;5,00
08/2014;9,78
09/2014;-11,70
10/2014;0,95
11/2014;0,18
12/2014;-8,62
01/2015;-6,20
02/2015;9,97
03/2015;-0,84
04/2015;9,93
05/2015;-6,17
06/2015;0,61
07/2015;-4,17
08/2015;-8,33
09/2015;-3,36
10/2015;1,80
11/2015;-1,63
12/2015;-3,93
01/2016;-6,79
02/2016;5,91
03/2016;16,97
04/2016;7,70
05/2016;-10,09
06/2016;6,30
07/2016;11,22
08/2016;1,03
09/2016;0,80
10/2016;11,23
11/2016;-4,65
12/2016;-2,71
01/2017;7,38
02/2017;3,08
03/2017;-2,52
04/2017;0,64
05/2017;-4,12
06/2017;0,30
07/2017;4,80
08/2017;7,46
09/2017;4,88
Fonte;BM&FBOVESPA
